"","Yield0","Year","ID1","SeasPr","I.SeasPr.2.","CVPrec","Spell","Spell4","AvgTempK","CVTempK","Yield0lag"
"1-1993",0.7,"13","1",-1.32437217491393,1.75396165768627,1.30111002804662,2.2462676709557,0.218501476867354,-1.00024518484872,1.64913706402341,1.28
"1-1994",1.8,"14","1",-0.626501769780852,0.39250446753854,-0.0111940935996393,0.55246140181476,0.971112244873897,-0.944708063970911,1.86572628676789,0.7
"1-1995",1.38,"15","1",-0.191878682027084,0.0368174286164509,1.06250927865639,1.42713185227279,0.745329014471935,-0.944708063970911,1.10766400716222,1.8
"1-1996",1.39,"16","1",-0.90741669235341,0.823405053561602,1.30111002804662,1.52431745787924,-0.0825428303352627,-0.972476624409809,2.08231550951237,1.38
"1-1997",1.53,"17","1",0.0953965784150406,0.00910050717329699,0.585307779875935,1.46878282610412,-0.759892521541152,-0.889170943093101,1.64913706402341,1.39
"1-1998",0.73,"18","1",0.428607612359596,0.183704485372594,0.585307779875935,1.01062211395944,0.707698476071608,-0.916939503531998,2.40719934362909,1.53
"1-1999",0.81,"19","1",-0.799290948570765,0.638866020467153,0.823908529266165,0.830134560690325,0.519545784069972,-0.972476624409809,1.3242532299067,0.73
"1-2000",0.78,"20","1",-1.44804541126663,2.09683551309035,2.13621265091243,1.96859451208014,1.34741762887717,-0.889170943093101,1.86572628676789,0.81
"1-2001",0.78,"21","1",-0.397529606476428,0.158029788025304,0.227406655790591,0.344206532658086,0.519545784069972,-1.05578230572653,0.891074784417743,0.78
"1-2002",1.36,"22","1",-0.326505833599593,0.106606059374565,0.585307779875935,1.27441161489123,0.444284707269317,-0.972476624409809,1.43254784127894,0.78
"1-2003",1.35,"23","1",-0.020856263756496,0.000434983737880529,0.46600740518082,3.05151983169484,-0.421217675938207,-0.916939503531998,2.7320831777458,1.36
"1-2004",0.81,"24","1",-0.502475181324289,0.252481307846877,1.53971077743685,2.45452254011238,0.256132015267681,-0.916939503531998,1.64913706402341,1.35
"1-2005",1.34,"25","1",-0.4289779437204,0.184022076198583,1.06250927865639,0.830134560690325,1.00874278327422,-0.889170943093101,3.05696701186252,0.81
"1-2006",1.27,"26","1",-0.32049884783389,0.102719511462851,1.18180965335151,1.96859451208014,0.519545784069972,-0.889170943093101,0.999369395789981,1.34
"1-2007",0.67,"27","1",-0.616607910872636,0.380205315750717,2.01691227621731,1.87140890647369,-0.233064983936571,-0.944708063970911,1.86572628676789,1.27
"1-2008",0.78,"28","1",-0.904943227626355,0.818922245226806,0.94320890396128,1.12169137750967,0.293762553668009,-1.02801374528763,1.3242532299067,0.67
"1-2009",0.48,"29","1",-1.1950453048994,1.4281332807621,1.42041040274174,1.95471085413636,1.15926493687553,-0.750328140898567,2.08231550951237,0.78
"1-2010",0.76,"30","1",0.0321465518232318,0.00103340079412373,0.94320890396128,2.34345327656215,-0.0449122919349357,-0.889170943093101,1.21595861853446,0.48
"1-2011",0.94,"31","1",-1.05794468859984,1.1192469641366,0.823908529266165,1.10780771956589,0.218501476867354,-0.778096701337464,1.3242532299067,0.76
"1-2012",1.26,"32","1",0.495744512093918,0.245762621271237,0.108106281095476,0.899552850409216,0.0303487848657184,-0.916939503531998,2.19061012088461,0.94
"1-2013",1.02,"33","1",0.373838036260544,0.13975487735514,-0.0111940935996393,0.871785534521659,0.293762553668009,-0.972476624409809,2.29890473225685,1.26
"1-2014",0.61,"34","1",-0.800704356986224,0.641127467296723,0.585307779875935,1.94082719619258,1.30978709047684,-0.861402382654188,0.891074784417743,1.02
"2-1981",2.28,"1","2",0.857577066451526,0.735438424903605,-0.726996341770328,0.288671900882974,-1.96406975035162,-0.861402382654188,1.43254784127894,NA
"2-1982",1.57,"2","2",-0.184104935742057,0.0338946273645871,0.46600740518082,-0.669300497237725,1.76135355128077,-0.722559580459654,1.54084245265118,2.28
"2-1983",1.8,"3","2",-0.219086794024678,0.0479990233160115,0.823908529266165,0.580228717702316,0.40665416886899,-0.52817965738731,2.19061012088461,1.57
"2-1984",1.01,"4","2",-1.23603414894772,1.52778041736492,0.70460815457105,2.13519840740548,0.0679793232660454,-0.694791020020741,2.51549395500132,1.8
"2-1985",1.33,"5","2",0.268185757204953,0.0719236003675941,0.346707030485706,0.0387660578949652,0.218501476867354,-0.861402382654188,1.75743167539565,1.01
"2-1986",1.48,"6","2",-0.119794852838655,0.0143508067666349,0.585307779875935,0.927320166296772,0.218501476867354,-0.805865261776377,2.62378856637356,1.33
"2-1987",1.35,"7","2",-0.491874618208344,0.241940640037604,1.06250927865639,1.21887698311612,-0.157803907135917,-0.555948217826207,3.273556234607,1.48
"2-1988",1.8,"8","2",0.524366032506971,0.274959736047102,-0.369095217684984,-0.183372469205487,0.40665416886899,-0.667022459581844,2.29890473225685,1.35
"2-1989",1.53,"9","2",-0.266082623838703,0.0707999627088888,0.46600740518082,0.663530665364986,0.331393092068336,-0.889170943093101,1.75743167539565,1.8
"2-1990",1.66,"10","2",0.213769533209766,0.0456974133287213,0.46600740518082,0.0387660578949652,0.707698476071608,-0.861402382654188,1.21595861853446,1.53
"2-1992",1.35,"12","2",-0.420850845331508,0.177115434016245,1.42041040274174,1.56596843171057,1.19689547527586,-0.694791020020741,3.49014545735147,NA
"2-1994",1.75,"14","2",-0.196118907273462,0.0384626257901369,0.227406655790591,-0.39162733836216,0.594806860870626,-0.667022459581844,2.19061012088461,NA
"2-1995",1.38,"15","2",-0.208839583012597,0.0436139714328754,1.77831152682708,1.14945869339722,1.00874278327422,-0.694791020020741,1.10766400716222,1.75
"2-1997",1.35,"17","2",0.119071169373985,0.0141779433760883,0.46600740518082,2.37122059244971,-0.345956599137553,-0.63925389914293,1.21595861853446,NA
"2-1998",1.08,"18","2",0.384791951480354,0.148064845924059,0.46600740518082,0.441392138264534,1.15926493687553,-0.667022459581844,2.7320831777458,1.35
"2-1999",0.77,"19","2",-0.848053538904114,0.719194804847792,0.227406655790591,0.46915945415209,0.1432404000667,-0.694791020020741,1.54084245265118,1.08
"2-2000",0.41,"20","2",-1.38832890571347,1.92745715043957,1.18180965335151,0.857901876577881,1.61083139767946,-0.611485338704033,1.86572628676789,0.77
"2-2001",0.72,"21","2",-0.171737612106788,0.0294938074121414,0.70460815457105,0.122068005557634,0.481915245669645,-0.750328140898567,1.43254784127894,0.41
"2-2002",0.98,"22","2",0.0681884664174469,0.00464966695236328,0.585307779875935,1.05227308779078,0.820590091272589,-0.722559580459654,1.86572628676789,0.72
"2-2003",0.91,"23","2",-0.107780881307249,0.0116167183753674,0.70460815457105,0.857901876577881,0.180870938467027,-0.63925389914293,2.40719934362909,0.98
"2-2004",0.77,"24","2",-1.22437352952018,1.49909053978971,1.30111002804662,0.871785534521659,0.67006793767128,-0.667022459581844,1.64913706402341,0.91
"2-2005",0.8,"25","2",-0.53604363119145,0.287342774540915,1.06250927865639,0.538577743870981,1.57320085927913,-0.611485338704033,3.16526162323476,0.77
"2-2006",1.3,"26","2",-0.426504478993346,0.181906070601385,0.94320890396128,0.399741164433199,1.57320085927913,-0.611485338704033,1.43254784127894,0.8
"2-2007",2.28,"27","2",-0.414843859565806,0.172095427819454,1.65901115213197,0.302555558826751,0.481915245669645,-0.611485338704033,1.97402089814013,1.3
"2-2008",0.35,"28","2",-0.840279792619088,0.706070129883977,0.94320890396128,0.31643921677053,0.594806860870626,-0.722559580459654,1.3242532299067,2.28
"2-2009",1.72,"29","2",-1.15794333399359,1.34083276474019,1.06250927865639,0.857901876577881,1.98713678168273,-0.472642536509499,2.08231550951237,0.35
"2-2010",1.21,"30","2",-0.121208261254114,0.0146914425962455,1.06250927865639,0.524694085927203,0.707698476071608,-0.611485338704033,1.43254784127894,1.72
"2-2011",1.13,"31","2",-0.822612187425845,0.676690810901534,2.37481340030266,0.538577743870981,0.481915245669645,-0.500411096948397,1.54084245265118,1.21
"2-2012",1.71,"32","2",0.160060013422308,0.0256192078967495,0.585307779875935,0.968971140128107,0.180870938467027,-0.63925389914293,1.97402089814013,1.13
"2-2013",1.41,"33","2",-0.147002964836248,0.0216098716706471,0.346707030485706,-0.127837837430374,1.34741762887717,-0.722559580459654,2.40719934362909,1.71
"2-2014",1.32,"34","2",-0.566078560019962,0.320444936114274,0.585307779875935,1.14945869339722,1.64846193607979,-0.58371677826512,0.891074784417743,1.41
"4-1981",1.22,"1","3",0.918353628316281,0.843373386641678,-0.726996341770328,0.441392138264534,-1.62539490474868,-1.16685654748217,1.3242532299067,NA
"4-1982",1.08,"2","3",-0.215199920882165,0.0463110059476899,0.46600740518082,-0.363860022474604,1.46030924407815,-1.05578230572653,1.54084245265118,1.22
"4-1983",0.9,"3","3",-0.354067297701051,0.125363651301325,1.06250927865639,0.844018218634103,0.444284707269317,-0.861402382654188,2.08231550951237,1.08
"4-1984",1.11,"4","3",-1.39433589147918,1.94417257826703,0.585307779875935,2.20461669712437,-0.12017336873559,-1.02801374528763,2.29890473225685,0.9
"4-1985",1.3,"5","3",0.256525137777413,0.0658051463117206,0.227406655790591,0.0804170317263,0.256132015267681,-1.19462510792107,1.64913706402341,1.11
"4-1986",1.53,"6","3",0.0833826068836353,0.00695265913071087,0.46600740518082,1.06615674573455,-0.195434445536244,-1.13908798704326,2.51549395500132,1.3
"4-1987",0.99,"7","3",-0.424737718474022,0.180402129494517,0.94320890396128,0.760716270971433,0.105609861666373,-0.889170943093101,3.16526162323476,1.53
"4-1988",1.53,"8","3",0.474896737965892,0.225526911730645,-0.249794842989869,0.108184347613856,-0.00728175353460863,-1.02801374528763,2.19061012088461,0.99
"4-1989",1.7,"9","3",-0.047004319442495,0.00220940604625211,0.346707030485706,0.746832613027655,0.256132015267681,-1.22239366835998,1.54084245265118,1.53
"4-1990",1.6,"10","3",0.353696966340247,0.125101543998294,0.108106281095476,0.31643921677053,0.180870938467027,-1.19462510792107,1.10766400716222,1.7
"4-1991",1.7,"11","3",-0.304951355263837,0.0929953290772509,1.65901115213197,0.885669192465437,-0.0825428303352627,-1.05578230572653,1.97402089814013,1.6
"4-1992",1.43,"12","3",-0.367141325544051,0.134792752922243,1.30111002804662,1.6770376952608,0.820590091272589,-1.02801374528763,3.38185084597923,1.7
"4-1993",0.81,"13","3",-0.9416918464283,0.886783533629541,1.06250927865639,0.899552850409216,0.444284707269317,-1.08355086616545,1.75743167539565,1.43
"4-1994",1.5,"14","3",-0.186225048365247,0.0346797686386384,0.227406655790591,-0.308325390699491,0.444284707269317,-1.00024518484872,1.97402089814013,0.81
"4-1995",1.32,"15","3",-0.047004319442495,0.00220940604625211,1.8976119015222,0.857901876577881,0.858220629672916,-1.02801374528763,0.999369395789981,1.5
"4-1996",0.74,"16","3",-0.783743456000711,0.614253804823939,0.70460815457105,1.46878282610412,-0.684631444740498,-1.05578230572653,2.51549395500132,1.32
"4-1997",1.53,"17","3",0.360764008417544,0.130150669769494,0.346707030485706,1.30217893077878,-0.571739829539516,-0.972476624409809,1.3242532299067,0.74
"4-1998",0.85,"18","3",0.599983382734049,0.359980059556992,0.46600740518082,0.538577743870981,1.15926493687553,-1.00024518484872,2.51549395500132,1.53
"4-1999",0.45,"19","3",-0.680917993776039,0.463649314247986,0.70460815457105,0.177602637332748,0.858220629672916,-1.02801374528763,1.3242532299067,0.85
"4-2000",0.35,"20","3",-1.3710146526241,1.87968117770997,1.30111002804662,0.705181639196321,1.46030924407815,-0.944708063970911,1.75743167539565,0.45
"4-2001",0.73,"21","3",-0.149829781667167,0.0224489634744309,0.346707030485706,0.0665333737825216,0.293762553668009,-1.08355086616545,1.10766400716222,0.35
"4-2002",1.32,"22","3",-0.0335769394956304,0.00112741086589322,0.46600740518082,0.927320166296772,1.08400386007488,-1.05578230572653,1.64913706402341,0.73
"4-2003",0.68,"23","3",0.171367280745984,0.0293667449102728,0.70460815457105,1.163342351341,0.0303487848657184,-0.972476624409809,2.29890473225685,1.32
"4-2004",0.48,"24","3",-0.837099623684304,0.700735779972403,1.53971077743685,1.3577135625539,0.67006793767128,-1.00024518484872,1.54084245265118,0.68
"4-2005",0.92,"25","3",-0.354774001908781,0.125864592430372,0.94320890396128,0.649647007421207,1.68609247448011,-0.944708063970911,2.94867240049028,0.48
"4-2006",0.87,"26","3",-0.320145495730025,0.102493138436224,0.70460815457105,0.927320166296772,1.15926493687553,-0.944708063970911,1.21595861853446,0.92
"4-2007",0.88,"27","3",-0.215553272986029,0.0464632134949896,2.13621265091243,3.31530933262663,0.0303487848657184,-0.972476624409809,1.75743167539565,0.87
"4-2008",0.24,"28","3",-0.819432018491061,0.671468832928335,0.94320890396128,0.135951663501413,0.557176322470299,-1.05578230572653,1.21595861853446,0.88
"4-2009",0.21,"29","3",-1.13320868672305,1.28416192766458,1.42041040274174,1.55208477376679,1.30978709047684,-0.805865261776377,1.97402089814013,0.24
"4-2010",0.85,"30","3",0.127198267762877,0.0161793993218766,0.94320890396128,0.496926770039647,0.40665416886899,-0.944708063970911,1.21595861853446,0.21
"4-2011",1.16,"31","3",-0.81130492010217,0.658215673381988,1.42041040274174,0.621879691533651,0.745329014471935,-0.833633822215275,1.43254784127894,0.85
"4-2012",1.26,"32","3",0.569948453905537,0.324841240109312,0.346707030485706,1.09392406162211,-0.0825428303352627,-0.972476624409809,1.97402089814013,1.16
"4-2013",1.29,"33","3",0.345216515847491,0.119174442813881,0.108106281095476,0.122068005557634,0.971112244873897,-1.05578230572653,2.29890473225685,1.26
"4-2014",1.18,"34","3",-0.571378841577935,0.326473780602943,0.346707030485706,1.163342351341,1.57320085927913,-0.889170943093101,0.782780173045504,1.29
"5-1981",3.15,"1","4",0.918353628316281,0.843373386641678,-1.08489746585567,-0.877555366394399,-1.47487275114737,-2.02768192108827,1.10766400716222,NA
"5-1982",1.08,"2","4",-0.201065836727571,0.0404274706989581,-0.0111940935996393,-0.794253418731729,1.61083139767946,-1.88883911889374,1.54084245265118,3.15
"5-1983",1.8,"3","4",-0.188698513092301,0.0356071288432452,-0.249794842989869,-0.530463917799943,0.218501476867354,-1.7499963166992,1.86572628676789,1.08
"5-1984",0.9,"4","4",-1.30882468234388,1.71302204911256,-0.0111940935996393,0.996738456015663,0.519545784069972,-1.86107055845484,1.75743167539565,1.8
"5-1985",1.3,"5","4",0.0501675091203393,0.00251677897133933,-0.0111940935996393,0.205369953220304,0.293762553668009,-2.02768192108827,1.3242532299067,0.9
"5-1986",2.52,"6","4",0.0685418185213118,0.00469798088620844,-0.130494468294754,0.760716270971433,0.218501476867354,-1.97214480021046,2.29890473225685,1.3
"5-1987",0.65,"7","4",-0.335692988300079,0.112689782393837,0.108106281095476,-0.100070521542817,0.745329014471935,-1.7499963166992,2.84037778911804,2.52
"5-1988",3.5,"8","4",0.26359217985471,0.0694808372805577,-0.488395592380098,-0.405510996305938,-0.0825428303352627,-1.88883911889374,1.86572628676789,0.65
"5-1989",2.7,"9","4",-0.116968036007736,0.0136815214475069,-0.130494468294754,0.31643921677053,0.444284707269317,-2.08321904196608,1.10766400716222,3.5
"5-1990",1.6,"10","4",0.070308579040636,0.00494329628671337,-0.130494468294754,0.621879691533651,0.256132015267681,-2.05545048152718,0.566190950301026,2.7
"5-1991",1.8,"11","4",-0.136402401720302,0.0186056151950667,0.46600740518082,0.205369953220304,0.481915245669645,-1.91660767933265,1.54084245265118,1.6
"5-1992",1.98,"12","4",-0.385162282841158,0.148349984123412,0.346707030485706,0.607996033589873,0.67006793767128,-1.88883911889374,2.94867240049028,1.8
"5-1993",0.9,"13","4",-0.975613648399326,0.951821990943043,0.46600740518082,0.705181639196321,0.93348170647357,-1.91660767933265,0.999369395789981,1.98
"5-1995",1.7,"15","4",-0.0993004308144929,0.00986057555994389,0.585307779875935,0.371973848545643,0.557176322470299,-1.86107055845484,0.566190950301026,NA
"5-1997",1.35,"17","4",0.246984630973062,0.0610014079368996,0.108106281095476,2.51005717188749,-0.64700090634017,-1.83330199801592,1.3242532299067,NA
"5-1998",1.6,"18","4",0.402106204569732,0.161689399753475,0.227406655790591,0.0665333737825216,1.00874278327422,-1.83330199801592,2.08231550951237,1.35
"5-1999",0.9,"19","4",-0.541697264853288,0.293435926749533,0.108106281095476,-0.113954179486596,0.93348170647357,-1.88883911889374,0.782780173045504,1.6
"5-2000",0.72,"20","4",-1.08974637794767,1.18754716825007,0.46600740518082,0.135951663501413,1.87424516648175,-1.77776487713811,1.43254784127894,0.9
"5-2001",1.77,"21","4",0.113417535712148,0.0128635374070163,-0.0111940935996393,-0.225023443036822,0.895851168073243,-1.99991336064937,0.24130711618431,0.72
"5-2002",1.44,"22","4",-0.171384260002923,0.0293725645767494,0.227406655790591,1.38548087844145,0.519545784069972,-1.91660767933265,0.891074784417743,1.77
"5-2003",1.8,"23","4",0.480197019523864,0.230589177559603,-0.0111940935996393,1.05227308779078,-0.12017336873559,-1.83330199801592,2.08231550951237,1.44
"5-2004",0.9,"24","4",-0.3445267908967,0.118698709645578,0.46600740518082,0.78848358685899,0.594806860870626,-1.83330199801592,1.21595861853446,1.8
"5-2005",1.84,"25","4",-0.270676201188946,0.0732656058900789,0.346707030485706,0.0109987420074088,1.04637332167455,-1.80553343757701,2.51549395500132,0.9
"5-2006",1.35,"26","4",-0.182338175222733,0.0332472101435561,0.108106281095476,-0.280558074811934,1.12163439847521,-1.80553343757701,0.457896338928787,1.84
"5-2007",1.33,"27","4",0.126138211451283,0.0159108483881285,0.46600740518082,1.28829527283501,0.256132015267681,-1.86107055845484,1.43254784127894,1.35
"5-2008",0.64,"28","4",-0.910950213392058,0.829830291279036,-0.0111940935996393,-0.599882207518834,1.3850481672775,-1.88883911889374,0.674485561673265,1.33
"5-2009",1.66,"29","4",-1.03144328080997,1.06387524152804,0.823908529266165,-0.15560515331793,1.3850481672775,-1.63892207494358,1.54084245265118,0.64
"5-2010",2.18,"30","4",0.482670484250918,0.232970796367016,-0.130494468294754,0.0387660578949652,0.331393092068336,-1.77776487713811,0.674485561673265,1.66
"5-2011",3.06,"31","4",0.0992834515575537,0.0098572037531811,-0.130494468294754,0.399741164433199,0.293762553668009,-1.69445919582139,1.10766400716222,2.18
"5-2012",2.16,"32","4",0.922593853562659,0.851179418631597,-0.369095217684984,0.538577743870981,0.0679793232660454,-1.86107055845484,1.75743167539565,3.06
"5-2013",2.3,"33","4",0.718709689632639,0.516543617971845,-0.607695967075213,0.149835321445191,-0.12017336873559,-1.88883911889374,1.86572628676789,2.16
"5-2014",1.94,"34","4",-0.372088254998159,0.138449669507575,0.346707030485706,-0.585998549575055,1.83661462808142,-1.7499963166992,0.457896338928787,2.3
"6-1982",1.8,"2","5",0.770652448900772,0.593905196996758,-0.846296716465443,-1.39819253928608,-0.00728175353460863,-0.944708063970911,-0.300165940676884,NA
"6-1983",1.69,"3","5",1.39396556011837,1.94313998279613,-0.0708442809471965,-0.940031827141401,0.594806860870626,-0.903055223312542,-0.6250497747936,1.8
"6-1984",1.14,"4","5",-0.352653889285592,0.124364765628254,-0.0111940935996393,-0.412452825277828,0.256132015267681,-0.903055223312542,-0.787491691851958,1.69
"6-1985",1.35,"5","5",1.69466820050736,2.87190030981085,-0.667346154422771,-0.606824036490723,-0.759892521541152,-1.0974351463849,-0.733344386165839,1.14
"6-1986",1.47,"6","5",0.911286586238983,0.8304432422591,-0.309445030337426,-0.565173062659388,0.594806860870626,-1.01412946506818,-0.246018634990765,1.35
"6-1987",0.94,"7","5",0.377371557299192,0.142409292258418,0.0484560937479184,-0.648475010322057,0.256132015267681,-0.778096701337464,0.133012504812071,1.47
"6-1988",1.61,"8","5",0.843796334400797,0.711992253948222,-0.249794842989869,-0.683184155181503,0.93348170647357,-0.778096701337464,-0.137724023618526,0.94
"6-1989",1.4,"9","5",0.86146393959404,0.742120119220883,-0.488395592380098,-0.39856916733405,0.105609861666373,-1.11131942660434,-0.787491691851959,1.61
"6-1990",1.5,"10","5",1.54060668322228,2.37346895238917,-0.607695967075213,-0.953915485085179,-0.759892521541152,-1.0974351463849,-1.22067013734091,1.4
"6-1992",1.32,"12","5",0.370304515221895,0.137125433993723,0.406357217833263,0.0804170317263,0.1432404000667,-0.889170943093101,-0.137724023618526,NA
"6-1995",1.3,"15","5",1.40350606692272,1.96982927988889,0.525657592528377,-0.662358668265836,0.820590091272589,-0.944708063970895,-1.00408091459644,NA
"6-1997",1.26,"17","5",0.892558924734147,0.796661434122576,-0.369095217684984,-0.23196527200871,-0.308326060737226,-0.916939503531998,0.24130711618431,NA
"6-1998",0.65,"18","5",2.72362952696181,7.41815780013821,-0.190144655642311,-0.71095147106906,0.858220629672916,-0.889170943093101,-1.16652283165479,1.26
"6-1999",0.38,"19","5",-0.114847923384546,0.0131900455057426,0.227406655790591,-0.933089998169511,1.00874278327422,-0.916939503531998,-0.733344386165839,0.65
"6-2000",0.47,"20","5",-0.0674987414666562,0.0045560800995825,0.70460815457105,-0.100070521542817,1.00874278327422,-0.916939503531998,-0.733344386165839,0.38
"6-2001",0.59,"21","5",0.628604903147102,0.395144124260578,0.108106281095476,-0.301383561727602,0.1432404000667,-0.930823783751455,-1.43725936008539,0.47
"6-2002",1.08,"22","5",0.864644108528823,0.747609434413603,-0.190144655642311,-0.523522088828054,-0.00728175353460863,-0.930823783751455,-0.733344386165839,0.59
"6-2003",1.08,"23","5",1.57099496415466,2.46802517739931,-0.249794842989869,0.365032019573753,-0.609370367939843,-0.889170943093101,-0.570902469107481,1.08
"6-2004",0.38,"24","5",0.345216515847491,0.119174442813881,-0.070844280947197,-0.349976364530826,-0.308326060737226,-0.875286662873629,-0.733344386165839,1.08
"6-2005",0.65,"25","5",0.6225979173814,0.387628166727656,0.167756468443033,-0.273616245840045,0.519545784069971,-0.791980981556921,-0.6250497747936,0.38
"6-2006",0.97,"26","5",0.16748040760347,0.0280496869310246,-0.369095217684984,-0.419394654249717,0.93348170647357,-0.791980981556921,-1.22067013734091,0.65
"6-2007",1.73,"27","5",1.62329107552666,2.6350739158845,0.46600740518082,-0.0861868635990392,0.0303487848657184,-0.847518102434731,-1.22067013734091,0.97
"6-2008",1.43,"28","5",-0.0197962074449016,0.000391889829201578,-0.309445030337426,-0.822020734619285,-0.421217675938207,-0.930823783751455,-1.22067013734091,1.73
"6-2009",1.18,"29","5",-0.110607698138168,0.0122340628874242,0.883558716613723,0.614937862561762,0.369023630468663,-0.736443860679095,-0.67919708047972,1.43
"6-2010",0.9,"30","5",1.2780660700507,1.63345287941484,-0.190144655642311,-0.676242326209614,0.218501476867354,-0.778096701337464,-1.38311205439927,1.18
"6-2011",0.88,"31","5",-0.121561613357979,0.0147772258421947,0.0484560937479184,-0.211139785093043,0.782959552872262,-0.750328140898567,-1.05822822028256,0.9
"6-2012",1.26,"32","5",2.05296723382632,4.21467446316449,-0.070844280947197,0.767658099943322,-0.835153598341806,-0.875286662873644,-0.516755163421362,0.88
"6-2013",1.29,"33","5",1.5243524864445,2.32365050292953,-0.0111940935996393,-0.495754772940497,0.707698476071607,-0.875286662873629,-0.354313246363003,1.26
"6-2014",1.18,"34","5",0.140272295605877,0.0196763169145424,0.167756468443033,-0.599882207518834,0.858220629672916,-0.847518102434747,-0.949933608910317,1.29
"8-1982",0.72,"2","6",1.09644308866417,1.20218744667942,-0.488395592380098,-1.01639194583218,0.782959552872262,1.16570252938599,0.728632867359385,NA
"8-1983",0.72,"3","6",0.272425982451331,0.074215915914573,-0.369095217684984,-0.676242326209614,0.632437399270953,1.27677677114165,-0.0835767179324065,0.72
"8-1984",0.87,"4","6",-0.393996085437779,0.155232915340294,0.167756468443033,-0.544347575743721,0.180870938467027,1.24900821070273,0.133012504812071,0.72
"8-1985",1.8,"5","6",-0.098947078710628,0.00979052438536721,0.227406655790591,-0.648475010322058,0.519545784069972,1.15181824916655,-0.137724023618526,0.87
"8-1986",1.55,"6","6",0.325428798031059,0.10590390258794,0.70460815457105,0.0804170317263,0.481915245669645,1.17958680960547,0.403749033242668,1.8
"8-1987",0.6,"7","6",0.0508742133280692,0.00258818558174989,0.406357217833263,-0.294441732755713,1.23452601367619,1.36008245245835,0.457896338928787,1.55
"8-1988",1.5,"8","6",-0.627915178196312,0.394277471009306,0.287056843138148,-0.31526721967138,1.30978709047684,1.38785101289727,0.674485561673265,0.6
"8-1989",1.99,"9","6",0.0367401291734747,0.00134983709168361,-0.130494468294754,-0.592940378546945,1.15926493687553,1.19347108982491,-0.137724023618526,1.5
"8-1990",2.67,"10","6",0.509171892040782,0.25925601564439,0.0484560937479184,-0.0167685738801481,-0.684631444740498,1.17958680960547,-0.408460552049123,1.99
"8-1992",1.34,"12","6",-0.368201381855645,0.135572257600407,0.764258341918607,-0.481871114996719,1.64846193607979,1.29066105136109,-0.0835767179324065,NA
"8-1993",0.88,"13","6",-0.264315863319379,0.0698628756022684,0.227406655790591,-0.773427931816062,1.5355703208788,1.26289249092217,-0.895786303224197,1.34
"8-1994",0.77,"14","6",0.157939900799119,0.0249450122644356,0.346707030485706,-0.641533181350168,1.53557032087881,1.30454533158054,0.891074784417743,0.88
"8-1997",1.12,"17","6",-0.145589556420789,0.021196318938802,1.00285909130884,1.14251686442533,-0.270695522336898,1.27677677114163,0.674485561673265,NA
"8-1998",1.48,"18","6",2.43458750600036,5.92721632437306,0.108106281095476,-0.252790758924378,0.707698476071608,1.30454533158053,-0.0835767179324065,1.12
"8-1999",0.99,"19","6",-0.0890532198024123,0.00793047595717675,1.12215946600395,0.0943006896700779,1.08400386007488,1.23512393048326,0.133012504812071,1.48
"8-2000",1.1,"20","6",-0.245234849710677,0.0601401315126183,0.883558716613723,-0.134779666402263,0.557176322470299,1.17958680960547,0.133012504812071,0.99
"8-2001",0.99,"21","6",-0.147709669043978,0.0218181463290814,0.167756468443033,-0.127837837430374,0.782959552872262,1.33231389201944,-0.408460552049123,1.1
