"","Year","ID1","code","ASAL","AvgTemp_MarMay","SDTemp_MarMay","Cum_DD_MarMay","HeatWDays_MarMay","MaxTemp_MarMay","AvgTemp_MarAug","SDTemp_MarAug","Cum_DD_MarAug","HeatWDays_MarAug","MaxTemp_MarAug","AvgTemp_OctDec","SDTemp_OctDec","Cum_DD_OctDec","HeatWDays_OctDec","MaxTemp_OctDec","SeasRain_MarMay","Prec2Months_MarMay","PrecStDev_MarMay","PrecCoefVar_MarMay","DrySpell_MarMay","DrSpell10_MarMay","DrSpell20_MarMay","MaxRain_MarMay","SeasRain_MarAug","Prec2Months_MarAug","PrecStDev_MarAug","PrecCoefVar_MarAug","DrySpell_MarAug","DrSpell10_MarAug","DrSpell20_MarAug","MaxRain_MarAug","SeasRain_OctDec","Prec2Months_OctDec","PrecStDev_OctDec","PrecCoefVar_OctDec","DrySpell_OctDec","DrSpell10_OctDec","DrSpell20_OctDec","MaxRain_OctDec","DrySpell4_MAM","DrySpell4_MAMJJA","DrySpell4_OND","HeatWDays_Mar","HeatWDays_Apr","HeatWDays_May","HeatWDays_Jun","HeatWDays_Jul","HeatWDays_Aug","HeatWDays_Sep","HeatWDays_Oct","HeatWDays_Nov","HeatWDays_Dec","DrySpell10_Mar","DrySpell4_Mar","DrySpell10_Apr","DrySpell4_Apr","DrySpell10_May","DrySpell4_May","DrySpell10_Jun","DrySpell4_Jun","DrySpell10_Jul","DrySpell4_Jul","DrySpell10_Aug","DrySpell4_Aug","DrySpell10_Sep","DrySpell4_Sep","DrySpell10_Oct","DrySpell4_Oct","DrySpell10_Nov","DrySpell4_Nov","DrySpell10_Dec","DrySpell4_Dec","name","Admin1","county","Admin2","Area","Yield","MT","west1","AvgTemp_OctDec_L1","SDTemp_OctDec_L1","Cum_DD_OctDec_L1","HeatWDays_OctDec_L1","MaxTemp_OctDec_L1","SeasRain_OctDec_L1","Prec2Months_OctDec_L1","PrecStDev_OctDec_L1","PrecCoefVar_OctDec_L1","DrySpell_OctDec_L1","DrSpell10_OctDec_L1","DrSpell20_OctDec_L1","MaxRain_OctDec_L1","DrySpell4_OND_L1","HeatWDays_Sep_L1","HeatWDays_Oct_L1","HeatWDays_Nov_L1","HeatWDays_Dec_L1","DrySpell10_Sep_L1","DrySpell4_Sep_L1","DrySpell10_Oct_L1","DrySpell4_Oct_L1","DrySpell10_Nov_L1","DrySpell4_Nov_L1","DrySpell10_Dec_L1","DrySpell4_Dec_L1"
"1-1991","1991","1",51333,0,19.6,0.8,1806.2,0,26,18.3,1.5,3375,0,24.4,18.8,0.6,1727.3,0,25.3,457.2,243.7,16.3,3.2,22.8,2.5,1,113.6,530.7,243.7,11.9,4.1,26.3,5.3,2.5,113.6,287.8,189.9,11.3,3.6,22.4,3,0.6,84.3,4.2,9.3,4.8,0,0,0,0,0,0,0,0,0,0,1.2,1.2,0.7,1.9,0.5,1.1,1,1.8,0.9,1.8,1.2,1.8,1,1.6,1.8,2.2,0.2,1.2,1.2,2.3,"Kiambu","Central","Kiambu","Kiambu",34860,1.2,41790.15,1,18.7,0.7,1720.9,0,25.2,323.1,236.6,9.3,2.6,17.7,1.5,0,64.9,5.3,0,0,0,0,1.4,2,1,2.7,0,0.3,0.5,2.3
"1-1992","1992","1",51333,0,20,1.3,1840.4,0,26.3,18.5,1.9,3399.1,0,24.4,18.9,0.6,1155.5,0,25.2,478.1,368.7,13.4,2.6,26.7,2,1,69.1,551.3,368.7,9.9,3.3,30.4,4.4,1.4,69.1,318.1,208.2,7.4,2.2,13.4,1.1,0,42.6,6.4,13.7,6,0,0,0,0,0,0,0,0,0,0,1,3.2,0,2,1,1.3,0.4,3.2,1.1,2.3,1,2.8,0.9,1.8,0.2,2.2,0,1,1,2.4,"Kiambu","Central","Kiambu","Kiambu",27005,1.28,34638.75,1,18.8,0.6,1727.3,0,25.3,287.8,189.9,11.3,3.6,22.4,3,0.6,84.3,4.8,0,0,0,0,1,1.6,1.8,2.2,0.2,1.2,1.2,2.3
"1-1993","1993","1",51333,0,19.5,0.8,1798.2,0,26.1,18.4,1.4,3379.3,0,24.5,19.4,0.6,1783.5,0,25.9,248.9,136.9,7.7,2.8,18.5,1.8,0.7,53.3,311.4,136.9,5.8,3.5,35.2,5.1,1.5,53.3,241.2,174.4,7.2,2.8,16.4,1.1,0.3,48.6,6.3,11.1,7.7,0,0,0,0,0,0,0,0,0,0,0.8,2.8,1,1.8,0.1,2.3,1,1.4,0.8,2.3,1.1,2.6,1.1,2.4,0.3,3.3,0,2,0.8,2.4,"Kiambu","Central","Kiambu","Kiambu",26286,0.7,18370.62,1,18.9,0.6,1155.5,0,25.2,318.1,208.2,7.4,2.2,13.4,1.1,0,42.6,6,0,0,0,0,0.9,1.8,0.2,2.2,0,1,1,2.4
"1-1994","1994","1",51333,0,19.8,0.9,1817.3,0,25.9,18.5,1.5,3405,0,24.4,18.9,0.7,1741.6,0,25,424.5,295.2,8.3,1.8,12,0.5,0.1,46.6,508.9,295.2,6.5,2.4,23,2.8,0.5,46.6,451.6,397.6,11.3,2.3,8.7,0.5,0,58.8,5.1,13.1,7.9,0,0,0,0,0,0,0,0,0,0,0.5,2.3,0,1.5,0,1.6,0.8,2.2,0.7,3.2,0.7,3.1,1,1.4,0.5,1.4,0,2.6,0,3.7,"Kiambu","Central","Kiambu","Kiambu",27404,1.8,49327,1,19.4,0.6,1783.5,0,25.9,241.2,174.4,7.2,2.8,16.4,1.1,0.3,48.6,7.7,0,0,0,0,1.1,2.4,0.3,3.3,0,2,0.8,2.4
"1-1995","1995","1",51333,0,19.6,0.7,1801,0,25.6,18.5,1.3,3409,0,24.5,18.8,0.6,1732,0,25.2,546.3,369.1,15.2,2.6,15.2,1.5,0.2,90.2,631.9,369.1,11.1,3.3,29.3,4.3,0.9,90.2,299.1,234.7,9.1,3,12.1,0.9,0.2,68.6,7.1,12.5,6.4,0,0,0,0,0,0,0,0,0,0,0.4,2.5,1,3,0.2,1.9,0.7,2,1,1.4,1.2,2.8,1.3,2.3,0.1,1.6,0.7,1.6,0.2,3.4,"Kiambu","Central","Kiambu","Kiambu",23600,1.38,32580,1,18.9,0.7,1741.6,0,25,451.6,397.6,11.3,2.3,8.7,0.5,0,58.8,7.9,0,0,0,0,1,1.4,0.5,1.4,0,2.6,0,3.7
"1-1996","1996","1",51333,0,19.8,0.8,1817.8,0,25.8,18.4,1.6,3387.2,0,24.1,19.1,0.8,1760.3,0,25.6,337.3,238.4,10.5,2.9,24.5,1.9,0.8,78.8,429.4,238.4,7.9,3.5,30,4.4,1.8,78.8,243.9,212.1,5.7,2.2,11.5,0.9,0.1,37.6,4.7,10.3,6.2,0,0,0,0,0,0,0,0,0,0,0.8,1.8,1,1.2,0.1,1.7,1,2.2,1,2.5,1.1,2.2,1.6,2.1,0.7,2.5,0,0,0.2,2.8,"Kiambu","Central","Kiambu","Kiambu",14764,1.39,20463,1,18.8,0.6,1732,0,25.2,299.1,234.7,9.1,3,12.1,0.9,0.2,68.6,6.4,0,0,0,0,1.3,2.3,0.1,1.6,0.7,1.6,0.2,3.4
"1-1997","1997","1",51333,0,19.7,1.4,1809.8,0,25.9,18.7,1.4,3448.7,0,24.7,18.9,0.6,1736.8,0,24.1,640.7,526.9,14.6,2.1,24.2,2,1.3,71.8,713.2,526.9,11.1,2.9,29.6,4.9,3.5,71.8,657.9,477.8,17.8,2.5,10.7,1.5,0,110.9,3.4,8.5,7.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0.9,1,1.5,1.2,2.4,1,1.5,1,2,1,1.6,0.4,2.6,0.1,2.7,0.9,2.7,"Kiambu","Central","Kiambu","Kiambu",17213,1.53,26335.89,1,19.1,0.8,1760.3,0,25.6,243.9,212.1,5.7,2.2,11.5,0.9,0.1,37.6,6.2,0,0,0,0,1.6,2.1,0.7,2.5,0,0,0.2,2.8
"1-1998","1998","1",51333,0,20,0.8,1842.2,0,25.9,18.6,1.6,3428.1,0,24.2,19.1,0.6,1759.1,0,26,659.1,283.4,15,2.1,14.8,2.8,0.1,68.9,807.5,283.4,12.3,2.9,26.3,5.6,1.7,77.9,164.4,130.8,6.2,3.5,14,2.2,0,50.2,6.7,12.4,7.3,0,0,0,0,0,0,0,0,0,0,1,2.9,0.3,2.2,0.3,2.1,1,1.9,0.7,3,1,2.5,1,1.3,1.1,2.2,0.4,2.7,0.6,2.5,"Kiambu","Central","Kiambu","Kiambu",17706,0.73,12915,1,18.9,0.6,1736.8,0,24.1,657.9,477.8,17.8,2.5,10.7,1.5,0,110.9,7.8,0,0,0,0,1,1.6,0.4,2.6,0.1,2.7,0.9,2.7
"1-1999","1999","1",51333,0,19.5,1,1790.2,0,25.6,18.4,1.3,3389.5,0,24.4,18.7,0.7,1716.9,0,24.6,390,341.5,10.4,2.4,14.2,1,0,77.1,460,341.5,7.7,3.1,25,3.5,0.5,77.1,449,318.6,16.1,3.2,19.8,1.2,0.6,118.8,5.7,11.9,5,0,0,0,0,0,0,0,0,0,0,0,2,0.5,1.1,0.5,2.6,0.6,2.9,1,1.9,0.5,1.9,1.6,2.1,0.7,2.3,0,0.8,0.6,1.8,"Kiambu","Central","Kiambu","Kiambu",14664,0.81,11843.28,1,19.1,0.6,1759.1,0,26,164.4,130.8,6.2,3.5,14,2.2,0,50.2,7.3,0,0,0,0,1,1.3,1.1,2.2,0.4,2.7,0.6,2.5
"1-2000","2000","1",51333,0,20.1,0.8,1845.3,0,24.2,18.8,1.5,3452.4,0,23.5,19.2,0.5,1769.7,0,25.2,228.4,148.8,8.6,3.4,26.2,2.6,0.6,63.3,276.4,148.8,6.3,4.2,33.2,5.3,1.5,63.3,295.7,226.5,8.7,2.7,16.5,3.1,0,48.8,7.2,14.1,7.3,0,0,0,0,0,0,0,0,0,0,1,2.6,0.8,3.2,0.9,2,0.5,3.1,0.9,2.1,1.3,2.2,1,2.4,1.4,2.2,0.2,2.6,0.9,3,"Kiambu","Central","Kiambu","Kiambu",14740,0.78,11438.1,1,18.7,0.7,1716.9,0,24.6,449,318.6,16.1,3.2,19.8,1.2,0.6,118.8,5,0,0,0,0,1.6,2.1,0.7,2.3,0,0.8,0.6,1.8
"1-2001","2001","1",51333,0,19.2,0.6,1763.7,0,25.9,18.2,1.2,3344.8,0,24.4,19,0.6,1752.6,0,25.3,478.5,382.1,10.1,2,16.1,2,0,49,573.7,382.1,7.8,2.6,21.5,4.3,0.4,49,284.6,258.1,13.9,4.5,11,0.7,0,125.2,4.8,11.9,5.8,0,0,0,0,0,0,0,0,0,0,1,2,1,1.1,0,1.6,0.4,2.9,1,3,1.2,1.9,1,2.2,0.3,1,0.4,1,0.1,3.5,"Kiambu","Central","Kiambu","Kiambu",16500,0.78,12789,1,19.2,0.5,1769.7,0,25.2,295.7,226.5,8.7,2.7,16.5,3.1,0,48.8,7.3,0,0,0,0,1,2.4,1.4,2.2,0.2,2.6,0.9,3
"1-2002","2002","1",51333,0,19.6,0.8,1804.3,0,26.3,18.5,1.4,3399.3,0,24.5,18.9,0.7,1743.4,0,25.3,544,340.5,12.3,2.1,20,2.5,0.9,54.7,593.8,340.5,9.2,2.9,28.2,4.5,2,54.7,454.1,246.8,13.7,2.8,22,1.5,0.7,95.3,5.1,11.7,5.2,0,0,0,0,0,0,0,0,0,0,0.9,2.3,0.7,2,1,1,0.6,3,0.5,2.2,0.7,2.5,0.9,2.5,0,2.1,0.7,2,1,1.5,"Kiambu","Central","Kiambu","Kiambu",18750,1.36,25408,1,19,0.6,1752.6,0,25.3,284.6,258.1,13.9,4.5,11,0.7,0,125.2,5.8,0,0,0,0,1,2.2,0.3,1,0.4,1,0.1,3.5
"1-2003","2003","1",51333,0,20.1,1.1,1850.9,0,26.1,18.7,1.7,3438.3,0,24.5,19.4,0.6,1787.4,0,25.9,603.3,299,13.4,2.1,21.7,3,1,66.2,680.3,299,10.2,2.8,41,4.9,2,66.2,269.2,229.9,6.2,2.1,10.8,0.5,0.1,39.8,4.2,9.4,6.1,0,0,0,0,0,0,0,0,0,0,1,1,1,2.2,1,1,0.9,2.1,0.8,2,1,2.3,0.3,2.6,0.2,2.3,0,1,0.2,2.9,"Kiambu","Central","Kiambu","Kiambu",21200,1.35,28620,1,18.9,0.7,1743.4,0,25.3,454.1,246.8,13.7,2.8,22,1.5,0.7,95.3,5.2,0,0,0,0,0.9,2.5,0,2.1,0.7,2,1,1.5
"1-2004","2004","1",51333,0,19.8,0.9,1824,0,25.8,18.6,1.4,3429,0,24.4,19.3,0.6,1779.5,0,25,504,370.4,14.7,2.7,21.7,3.1,0.7,95.9,544,370.4,10.7,3.7,36.7,5.4,1.3,95.9,296.8,221.3,9.2,3,17.1,0.9,0.6,68.6,5.1,11.2,6.3,0,0,0,0,0,0,0,0,0,0,1.3,2,0.1,2,1,1.1,0.9,2,0.7,2.2,1.4,2.7,0.9,1.5,0.1,2.4,0.3,1.3,0.3,2.9,"Kiambu","Central","Kiambu","Kiambu",14664,0.81,11844,1,19.4,0.6,1787.4,0,25.9,269.2,229.9,6.2,2.1,10.8,0.5,0.1,39.8,6.1,0,0,0,0,0.3,2.6,0.2,2.3,0,1,0.2,2.9
"1-2005","2005","1",51333,0,20.3,1.1,1868.7,0,25.6,18.8,1.8,3458.8,0,24.5,19.9,0.6,1826.8,0,25.2,511.7,289,13.6,2.4,17.5,2.5,0.1,75,564.8,289,10,3.3,25,5.1,0.8,75,173.4,155,3.7,2,19.5,1.1,0.2,17.4,6.3,13.2,6.7,0,0,0,0,0,0,0,0,0,0,1,2,0.2,1.9,1,2.3,0.7,2,0.7,2.5,0.7,2.8,0.8,2.6,0.1,3.2,0,1.6,1,1.9,"Kiambu","Central","Kiambu","Kiambu",22140,1.34,29599,1,19.3,0.6,1779.5,0,25,296.8,221.3,9.2,3,17.1,0.9,0.6,68.6,6.3,0,0,0,0,0.9,1.5,0.1,2.4,0.3,1.3,0.3,2.9
"1-2006","2006","1",51333,0,19.7,0.8,1814,0,25.8,18.7,1.3,3442.3,0,24.2,19.2,0.6,1763.2,0,25.6,529.1,390.1,14.5,2.5,19.6,1.5,0.6,87.2,595.5,390.1,10.8,3.4,33.2,3.9,1.8,87.2,550.3,367.5,13.1,2.2,18.4,2.4,0.5,68,5.4,11.9,5.1,0,0,0,0,0,0,0,0,0,0,1,1.7,0,2,0.6,1.6,0.4,2,1,2.3,1,2,1,2.4,0.7,2,0.7,1.5,1,1.7,"Kiambu","Central","Kiambu","Kiambu",23391,1.27,29660,1,19.9,0.6,1826.8,0,25.2,173.4,155,3.7,2,19.5,1.1,0.2,17.4,6.7,0,0,0,0,0.8,2.6,0.1,3.2,0,1.6,1,1.9
"1-2007","2007","1",51333,0,19.8,0.8,1825.2,0,25.9,18.6,1.5,3416.7,0,24.7,19.2,0.5,1765.1,0,24.1,400.5,260.3,15.1,3.4,22.4,3.9,1.1,102.7,511.7,260.3,11.3,4.1,32.5,7,2.3,102.7,200.5,159.5,4.2,1.9,8.8,0.2,0,20.5,4.9,9.9,7.1,0,0,0,0,0,0,0,0,0,0,1.3,2.1,0,2,2,2,1.5,1.7,1,1,0.9,2.7,1.2,2,0.2,2.6,0,1.3,0,3.1,"Kiambu","Central","Kiambu","Kiambu",26293.3,0.67,17616.51,1,19.2,0.6,1763.2,0,25.6,550.3,367.5,13.1,2.2,18.4,2.4,0.5,68,5.1,0,0,0,0,1,2.4,0.7,2,0.7,1.5,1,1.7
"1-2008","2008","1",51333,0,19.4,0.9,1782.1,0,25.9,18.3,1.3,3366.1,0,24.2,19.4,0.6,1788.8,0,26,377.4,308.3,10.3,2.5,15.2,2.7,0,73.1,430.1,308.3,7.5,3.2,27.1,5.6,0.6,73.1,259.4,234.4,9.2,3.3,18.1,2.3,0.4,56,4.9,11.3,6.5,0,0,0,0,0,0,0,0,0,0,1,1.3,0.2,2.7,0,2,0.8,2,1,2.6,0.9,2.4,0.5,2,0.9,2.4,1,1.6,0.3,3,"Kiambu","Central","Kiambu","Kiambu",30603,0.78,23976.9,1,19.2,0.5,1765.1,0,24.1,200.5,159.5,4.2,1.9,8.8,0.2,0,20.5,7.1,0,0,0,0,1.2,2,0.2,2.6,0,1.3,0,3.1
"1-2009","2009","1",51333,0,20.6,1,1891.6,0,25.6,19.3,1.6,3550.9,0,24.4,19.7,0.6,1808.1,0,24.6,294.4,168.1,9.5,2.9,15.3,2.3,0.1,60,348,168.1,7,3.6,33.1,5.2,0.9,60,329.9,216.6,8.9,2.5,11,0.8,0,61.1,8,13.6,6.2,0,0,0,0,0,0,0,0,0,0,0.8,2.7,0.4,2.6,1.1,2.9,1.2,1.5,1.3,2,0.9,2.6,1.1,2.2,0.2,2.1,0,1.2,0.5,2,"Kiambu","Central","Kiambu","Kiambu",41984,0.48,20000.16,1,19.4,0.6,1788.8,0,26,259.4,234.4,9.2,3.3,18.1,2.3,0.4,56,6.5,0,0,0,0,0.5,2,0.9,2.4,1,1.6,0.3,3
"1-2010","2010","1",51333,0,19.9,0.7,1834,0,25.6,18.8,1.3,3458.3,0,24.5,19.5,0.6,1796.4,0,26.4,617.8,395.4,16.2,2.4,15.1,2.5,0,90.6,695.3,395.4,11.9,3.2,35.9,4.7,1.1,90.6,271.4,206.2,6.4,2.2,19.8,1,0.7,42.9,5.4,10.4,5.5,0,0,0,0,0,0,0,0,0,0,1,1.1,0.1,1.8,1,2.7,0.9,1.7,1,2,0.9,2.3,0.7,2.2,0,1.8,0,1.6,1,2.1,"Kiambu","Central","Kiambu","Kiambu",39523,0.76,30193.29,1,19.7,0.6,1808.1,0,24.6,329.9,216.6,8.9,2.5,11,0.8,0,61.1,6.2,0,0,0,0,1.1,2.2,0.2,2.1,0,1.2,0.5,2
