"Market/Month","JAN","FEB","MAR","APR","MAY","JUNE","JULY","AUG","SEPT","OCT","NOV","DEC"
"BUMALA",,,38.10,,,30.16,31.71,32.74,35.63,37.50,,38.10
"BUSIA TOWN",,,33.33,33.33,,31.11,36.57,33.33,35.00,37.50,,33.33
"BUTERE",29.17,31.57,32.61,33.33,43.42,31.30,,,,,,
"KAKAMEGA",35.14,37.75,42.14,37.78,37.42,33.74,35.22,36.05,37.07,36.88,35.11,33.01
"MUMIAS",36.36,36.36,33.33,34.09,43.31,42.31,,,,,,
"MUNDETA",55.28,31.65,41.27,40.48,38.10,,,30.95,31.55,31.90,34.52,33.33
"CHEPTULA",29.59,34.03,40.60,40.48,38.10,,30.95,30.95,32.74,35.48,33.93,33.33
"MBALE",29.76,34.71,42.86,,,,,30.95,32.74,33.93,33.33,34.52
"HARAMBEE",,,,33.33,32.85,31.64,,,33.33,35.24,,
"WAKULIMA",50.00,50.00,54.05,54.05,52.63,54.05,54.05,50.00,50.00,50.00,50.00,40.00
"KAWANGWARE",48.89,50.00,52.38,52.38,50.00,52.38,52.38,54.55,54.55,50.00,42.86,47.50
"BURMA",50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,45.00
"KIKOMBA",50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,47.73,47.62,50.00
"KANGEMI",45.45,50.00,47.62,47.62,47.62,47.62,47.62,52.63,52.63,47.73,48.89,43.64
"KOROKOCHO",47.37,47.62,52.38,52.38,55.00,52.38,52.38,50.00,50.00,47.49,47.62,47.37
"TOI",50.00,51.95,55.00,55.00,50.00,55.00,55.00,50.00,42.11,43.55,50.00,50.00
"Mean",36.58,36.92,38.06,37.17,37.40,37.71,36.89,35.50,35.91,35.60,38.12,36.88
