"Market/Month","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"BURA TANA",".",".",".",30.00,".",45.54,44.00,30.00,36.67,36.00,41.11,45.00
"RUNYENJES",40.91,36.36,36.36,31.82,35.45,37.06,38.64,36.98,32.61,33.33,31.82,"."
"EMBU TOWN",36.36,36.36,29.55,".",36.93,38.08,41.89,37.01,41.21,31.82,31.82,"."
"SIAKAGO",38.10,38.10,".",35.71,38.04,40.04,40.61,35.00,32.50,33.41,37.50,"."
"MWINGI",37.00,33.00,34.00,34.00,34.00,37.89,40.00,40.00,35.00,35.00,40.00,"."
"MIGWANI",38.00,38.00,30.00,".",".",36.22,40.00,".",".",".",".","."
"KALUNDU",38.00,30.00,32.00,".",".",40.57,38.82,37.86,36.50,35.00,".","."
"MACHAKOS TOWN",37.00,37.00,35.00,".",36.75,39.74,45.39,43.58,38.00,44.44,44.44,"."
"TAWA",".",".",".",".",".",".",43.47,43.33,44.44,44.44,44.44,"."
"TALA",30.00,37.50,".",".",33.55,33.59,42.79,44.44,39.57,41.82,".","."
"MAUA",50.00,39.58,36.88,37.50,43.75,50.00,50.00,50.00,".",".",".","."
"KIANJAI",".",33.33,30.00,35.56,33.33,38.89,36.67,36.67,33.33,".",".","."
"MWENDANTU",36.36,31.82,30.00,".",35.78,".",50.00,43.75,38.89,38.89,".","."
"WOTE",38.00,38.00,".",".",".",39.25,38.79,38.00,".",".",38.00,"."
"GARISSA TOWN",".",55.56,55.56,62.50,47.22,".",".",".",".",".",".","."
"MANDERA TOWN",".",".",".",50.00,".",".",".",".",".",".",".","."
"DARAJA MBILI",40.91,36.36,34.09,45.45,47.73,".",".",".",38.63,39.60,36.93,37.23
"KIBIRIGO",36.00,32.00,34.00,41.67,".",".",37.50,41.67,33.33,33.33,".","."
"RIOSIRE",37.50,43.48,39.13,39.58,40.79,47.06,".",".",".",".",".","."
"RIOCHANDA",36.00,39.58,31.25,40.82,46.74,".",41.67,31.25,33.33,".",".","."
"NYABITE",40.91,36.00,33.33,44.90,".",".",41.67,37.50,34.00,35.42,".","."
"MOGONGA",".",43.18,38.64,45.45,47.73,45.85,".",".",35.53,37.21,37.69,"."
"NYAMACHE",".",".",35.42,43.48,".",".",".",".",35.50,35.65,34.78,"."
"KIBUYE",36.36,36.36,".",43.18,54.44,55.00,49.73,38.64,36.93,31.93,34.66,34.47
"AHERO",42.05,38.64,38.64,".",".",".",".",".",".",".",".","."
"KIBOSWA",34.09,".",".",45.45,50.69,51.67,44.09,78.30,35.80,35.00,34.09,35.50
"SONDU",38.64,38.64,38.64,38.64,".",".",".",".",".",".",".",36.36
"BONDO",37.50,37.50,".",42.50,49.30,50.00,50.00,37.50,".",35.00,".","."
"SIAYA",".",".",".",40.91,45.45,".",38.64,".",".",".",".","."
"NGIYA",".",".",31.82,".",".",".",31.82,".",".",".",".","."
"UGUNJA",".",".",".",36.36,45.45,".",34.09,".",".",".",".","."
"OYUGIS",36.36,35.71,40.48,40.91,40.48,".",45.45,38.10,31.82,36.36,".","."
"KABARNET",35.00,30.00,35.00,37.50,42.05,45.00,".",".",37.50,".",".","."
"KERICHO",".",".",".",".",".",".",52.73,54.55,34.58,35.50,".","."
"NAKURU TOWN",55.56,50.00,50.00,50.00,50.00,50.00,50.00,".",".",".",".","."
"KAPSABET",34.78,34.78,34.78,".",47.05,43.48,43.48,43.48,34.78,34.78,32.61,"."
"KITALE",35.00,35.00,35.00,".",40.86,43.33,47.33,48.33,36.67,32.50,".","."
"ELDORET",40.00,40.00,40.00,40.00,47.19,48.75,49.93,47.00,42.50,39.00,31.67,32.50
"BURNT FOREST",32.50,35.00,35.00,37.50,37.43,45.00,45.00,41.43,42.50,35.28,32.86,35.00
"TURBO",".",".",".",32.00,31.00,33.50,45.00,43.33,37.50,34.17,31.43,31.67
"KIPKAREN",37.50,35.00,30.00,37.50,51.11,47.50,49.17,47.27,40.00,31.25,31.67,32.50
"ITEN",35.00,41.25,37.50,34.67,35.00,".",".",45.00,37.50,35.05,35.00,29.17
"BUNGOMA TOWN",35.71,36.36,38.10,41.67,46.50,".",".",".",35.00,31.82,30.43,"."
"KIMILILI",31.82,33.33,31.25,33.33,50.40,".",".",".",29.55,29.55,27.08,"."
"KAPSOKWONY",30.43,34.09,36.36,33.33,".",".",".",".",34.09,31.82,30.43,"."
"BUTERE",37.50,33.33,31.25,35.42,41.67,".",".",29.17,27.08,".",29.17,"."
"KAKAMEGA TOWN",36.36,40.40,37.50,".",40.91,".",39.77,38.64,38.64,36.84,35.08,"."
"MUMIAS",40.48,".",36.36,44.62,".",".",".",36.36,".",".",31.82,"."
"MUDETE",38.10,33.33,33.33,32.14,46.83,45.00,".",".",".",".",".","."
"CHEPTULU",38.10,35.71,33.33,42.86,47.62,43.18,".",".",".",".",".","."
"MBALE",35.71,35.71,33.33,35.71,45.37,".",".",".",".",".",".","."
"WAKULIMA",".",".",".",".",54.86,58.25,66.67,60.00,55.56,55.56,".","."
"KAWANGWARE",38.10,40.48,40.00,42.50,42.86,42.86,42.86,45.00,47.37,50.65,".","."
"BURMA",40.00,41.03,40.00,45.00,54.90,55.56,55.56,51.85,55.56,55.56,55.56,"."
"KIKOMBA",40.00,40.51,37.50,40.00,52.03,55.06,56.79,52.78,55.56,50.00,50.00,"."
"KANGEMI",38.64,40.48,42.50,42.50,45.00,45.00,45.00,45.00,45.45,45.00,50.00,"."
"KOROGOCHO",38.64,40.00,35.00,40.00,42.50,44.94,53.09,51.19,47.62,50.00,50.00,"."
"KIBERA(TOI)",38.10,40.91,40.00,43.93,45.00,45.00,42.86,45.00,47.62,50.00,52.63,"."
"NYAMAKIMA",".",".",".",".",".",".",".",".",".",34.78,".","."
"Total",42.33,40.84,39.60,41.35,45.96,44.59,45.39,44.59,40.51,39.68,38.27,36.80
