"Market/Month","JAN","FEB","MAR","APR","MAY","JUNE","JULY","AUG","SEPT","OCT","NOV","DEC"
"RIOCHANDA",".",".",22.92,22.92,18.75,16.00,14.00,14.00,14.00,18.00,16.00,18.00
"NYABITE",".",".",".",20.00,18.00,18.75,16.00,14.00,15.00,18.00,16.00,18.00
"MOGONGA",".",".",".",".",".",16.67,19.05,14.74,12.50,14.58,15.91,"."
"Nyamache",".",".",".",".",".",14.00,16.00,16.00,16.00,16.00,16.00,"."
"KIBUYE",29.55,28.18,27.27,27.27,20.45,18.18,15.91,".",".",".",".","."
"AHERO",29.55,28.18,27.27,22.73,21.59,18.18,18.18,18.18,18.18,18.18,20.45,20.45
"KIBOSWA",27.27,27.27,27.27,27.27,19.13,17.39,15.22,".",".",".",".","."
"SONDU",29.55,29.55,25.00,20.45,20.45,18.18,18.18,15.91,15.91,15.91,20.45,"."
"BONDO",".",".",".",".",".",22.50,19.50,17.50,17.50,18.18,20.45,20.45
"OYUGIS",25.00,26.73,28.57,27.27,18.18,18.18,17.39,15.91,17.86,".",".","."
"NAKURU TOWN",".",".",".",".",".",".",".",".",".",27.78,27.78,"."
"KAPSABET",".",".",".",26.09,25.00,21.74,21.74,18.48,17.39,15.22,17.39,17.39
"KITALE",35.00,35.00,32.50,25.00,22.50,25.00,".",20.00,17.50,16.67,15.00,15.00
"ELDORET",28.75,28.75,28.75,27.50,25.00,25.00,22.50,22.50,20.00,17.50,17.50,"."
"BURNT FOREST",".",".",".",22.73,22.73,25.00,23.75,15.00,22.50,20.00,".",20.00
"TURBO",22.00,22.00,22.00,24.00,20.00,20.80,18.00,18.48,18.00,14.00,11.20,10.40
"KIPKAREN",24.00,30.00,27.50,25.00,25.00,22.50,25.00,25.00,10.80,12.00,14.00,"."
"BUNGOMA
TOWN",30.00,".",".",22.73,20.45,18.18,18.18,18.18,18.18,14.58,18.18,"."
"KIMILILI",30.00,25.00,25.00,20.83,20.83,".",18.00,18.00,16.00,12.50,12.00,"."
"KAPSOKWONY",23.91,25.22,23.91,21.74,19.23,17.69,17.31,17.31,19.05,".",12.50,"."
"BUMALA",23.81,23.81,28.57,".",".",".",".",".",".",16.67,".","."
"BUSIA TOWN",21.43,21.43,18.10,18.10,".",".",".",".",".",16.67,".","."
"KAKAMEGA
TOWN",29.55,27.27,27.27,27.27,22.73,20.45,20.45,20.45,18.18,18.18,15.91,15.91
"MUDETE",28.57,23.81,22.38,21.43,21.43,19.05,21.43,21.43,19.05,16.67,16.67,16.67
"CHEPTULU",28.57,26.19,26.19,21.43,19.05,19.05,16.67,19.05,16.67,16.67,16.67,18.10
"MBALE",28.57,23.81,20.48,21.43,19.05,23.81,20.48,21.43,19.05,16.67,16.67,18.10
"KAWANGWARE",34.09,34.76,30.95,30.95,23.81,22.73,22.22,22.22,20.00,17.39,19.05,20.00
"BURMA",35.00,30.00,30.00,30.00,25.00,23.00,23.00,23.00,20.00,20.00,20.00,20.00
"GIKOMBA",35.71,32.50,32.50,30.00,21.43,22.50,22.73,23.81,22.22,22.73,20.00,19.05
"KANGEMI",30.95,30.95,30.95,30.00,22.73,21.43,22.73,22.73,22.22,17.39,20.00,19.05
"KOROGOCHO",33.33,30.95,30.95,28.57,22.73,21.74,21.43,20.45,20.45,20.45,20.00,20.00
"KIBERA(TOI)",33.33,32.50,31.58,30.95,23.68,21.43,21.43,21.74,20.00,20.00,19.05,20.00
