"Month/Town","JAN","FEB","MAR","APR","MAY","JUNE","JULY","AUG","SEP","OCT","NOV                   DEC"
"Mumias",34.80,37.00,40.00,"-","-","-","-",35.00,33.75,37.50,
"Mundeta","-","-","-",57.14,57.14,58.33,"-",28.00,27.83,30.21,
"Cheptula",37.57,42.27,46.91,57.14,57.14,55.55,57.14,44.45,42.86,33.33,
"Mbale",40.00,47.50,50.00,52.50,56.61,59.52,57.14,41.27,33.33,33.33,
"Muthurwa",50.00,54.55,55.00,52.38,50.00,52.38,65.00,47.62,42.86,38.10,
"Kawangware",47.62,47.62,47.62,47.62,47.62,47.62,68.18,64.32,59.78,59.88,52.27
"Burma",50.00,50.00,60.00,65.00,65.00,60.00,70.00,65.04,62.66,60.34,52.50
"Gikomba",47.62,54.55,52.38,52.38,65.00,50.00,65.00,65.00,60.00,60.00,50.00
"Kangemi",50.00,47.50,50.00,47.50,54.55,59.32,55.00,62.50,60.00,58.69,50.00
"Korokocho",45.00,47.62,47.62,50.00,50.00,55.00,65.00,56.07,55.00,53.75,50.00
"Toi",47.62,50.00,57.14,63.64,61.90,68.18,71.43,62.50,61.07,53.48,
